0.001                    4.51518122950301E-05     
0.002                    4.50982480723061E-05     
0.003                    4.50148312873822E-05     
0.004                    4.49126237846986E-05     
0.005                    4.47818748771089E-05     
0.006                    4.46318559708114E-05     
0.007                    4.44608649425859E-05     
0.008                    4.42658886461444E-05     
0.009                    4.40522870033266E-05     
0.01                     4.38198001322387E-05     
0.011                    4.35660597313259E-05     
0.012                    4.32976649754613E-05     
0.013                    4.3000965089135E-05      
0.014                    4.269389287892E-05       
0.015                    4.23677602303663E-05     
0.016                    4.20221438403034E-05     
0.017                    4.16628302526423E-05     
0.018                    4.12841266004271E-05     
0.019                    4.08895991466096E-05     
0.02                     4.04749226901036E-05     
0.021                    4.00537489544384E-05     
0.022                    3.95917027350423E-05     
0.023                    3.91417997291921E-05     
0.024                    3.86695878590304E-05     
0.025                    3.82012942929943E-05     
0.026                    3.76725717172732E-05     
0.027                    3.71504176607251E-05     
0.028                    3.66304865958567E-05     
0.029                    3.60555032177245E-05     
0.03                     3.55342584930085E-05     
0.031                    3.49660074716596E-05     
0.032                    3.43654389474146E-05     
0.033                    3.37512190784484E-05     
0.034                    3.3166301599441E-05      
0.035                    3.2542342885189E-05      
0.036                    3.19210280834703E-05     
0.037                    3.1276503826172E-05      
0.038                    3.06129055825943E-05     
0.039                    2.99157472057887E-05     
0.04                     2.91952640611992E-05     
0.041                    2.85413432046244E-05     
0.042                    2.78199440455484E-05     
0.043                    2.70862648743542E-05     
0.044                    2.63829111877278E-05     
0.045                    2.55956810679692E-05     
0.046                    2.4875033052485E-05      
0.047                    2.41246421268659E-05     
0.048                    2.32666576760465E-05     
0.049                    2.25305757758365E-05     
0.05                     2.17717139521234E-05     
0.051                    2.09566346410783E-05     
0.052                    2.00723831139671E-05     
0.053                    1.91972170705546E-05     
0.054                    1.83244113689529E-05     
0.055                    1.7506718329785E-05      
0.056                    1.66720189307412E-05     
0.057                    1.57843990366002E-05     
0.058                    1.49422060077287E-05     
0.059                    1.39518151336393E-05     
0.06                     1.30570552350218E-05     
0.061                    1.22251274123908E-05     
0.062                    1.12854584586319E-05     
0.063                    1.04707575211416E-05     
0.064                    9.58825614516545E-06     
0.065                    8.54022710672364E-06     
0.066                    7.50665651272353E-06     
0.067                    6.47568312972524E-06     
0.068                    5.63825124033634E-06     
0.069                    4.73296624414754E-06     
0.07                     3.62420722976875E-06     
0.071                    2.57921689439389E-06     
0.072                    1.76250958550117E-06     
0.073                    7.07766834473489E-07     
0.074                    6.59454816087646E-07     
0.075                    1.31661790159221E-06     
0.076                    2.40822078478864E-06     
0.077                    3.53774551520303E-06     
0.078                    4.41686451968515E-06     
0.079                    5.63686950627584E-06     
0.08                     6.61690916081703E-06     
0.081                    7.74264772163136E-06     
0.082                    9.12420568233152E-06     
0.083                    9.87426204446251E-06     
0.084                    1.1201393863125E-05      
0.085                    1.20527816744875E-05     
0.086                    1.33575033360867E-05     
0.087                    1.42931618505315E-05     
0.088                    1.56068107037832E-05     
0.089                    1.67090760057054E-05     
0.09                     1.80621985739204E-05     
0.091                    1.89584699419321E-05     
0.092                    2.03466309356415E-05     
0.093                    2.127753949277E-05       
0.094                    2.2908779237385E-05      
0.095                    2.3578404914737E-05      
0.096                    2.51940217153024E-05     
0.097                    2.58934992019011E-05     
0.098                    2.72532643323942E-05     
0.099                    2.88295708552599E-05     
0.1                      2.96378122357499E-05     
