-1                  -10.6388853218858   -10.1800432417355   
-0.998              -10.7167103448912   -10.2688659079099   
-0.996              -10.7937529697233   -10.3567932281147   
-0.994              -10.8699945647365   -10.4438048704258   
-0.992              -10.9454164758246   -10.5298805273873   
-0.99               -11.0200000299069   -10.6149999199559   
-0.988              -11.0937265384503   -10.6991428014634   
-0.986              -11.1665773010273   -10.7822889615978   
-0.984              -11.2385336089093   -10.8644182304035   
-0.982              -11.3095767486944   -10.9455104822967   
-0.98               -11.3796880059694   -11.0255456400987   
-0.978              -11.4488486690056   -11.1045036790838   
-0.976              -11.5170400324872   -11.1823646310423   
-0.974              -11.5842434012724   -11.2591085883579   
-0.972              -11.6504400941867   -11.3347157080979   
-0.97               -11.7156114478462   -11.4091662161163   
-0.968              -11.7797388205132   -11.4824404111679   
-0.966              -11.8428035959805   -11.5545186690345   
-0.964              -11.9047871874853   -11.6253814466599   
-0.962              -11.9656710416523   -11.6950092862954   
-0.96               -12.0254366424638   -11.7633828196529   
-0.958              -12.084065515258    -11.8304827720661   
-0.956              -12.1415392307531   -11.8962899666582   
-0.954              -12.1978394090979   -11.9607853285165   
-0.952              -12.252947723947    -12.0239498888705   
-0.95               -12.3068459065605   -12.0857647892764   
-0.948              -12.3595157499275   -12.146211285803    
-0.946              -12.4109391129117   -12.2052707532218   
-0.944              -12.4610979244202   -12.2629246891977   
-0.942              -12.5099741875924   -12.3191547184815   
-0.94               -12.5575499840097   -12.3739425971016   
-0.938              -12.603807477925    -12.4272702165553   
-0.936              -12.6487289205103   -12.4791196079979   
-0.934              -12.6922966541229   -12.5294729464296   
-0.932              -12.7344931165881   -12.5783125548785   
-0.93               -12.775300845498    -12.6256209085792   
-0.928              -12.8147024825257   -12.6713806391458   
-0.926              -12.8526807777535   -12.7155745387395   
-0.924              -12.8892185940151   -12.7581855642275   
-0.922              -12.9242989112494   -12.7991968413353   
-0.92               -12.9579048308663   -12.8385916687889   
-0.918              -12.990019580123    -12.8763535224476   
-0.916              -13.0206265165099   -12.9124660594259   
-0.914              -13.0497091321447   -12.9469131222032   
-0.912              -13.0772510581745   -12.9796787427212   
-0.91               -13.1032360691844   -13.0107471464672   
-0.908              -13.1276480876116   -13.0401027565435   
-0.906              -13.1504711881639   -13.0677301977205   
-0.904              -13.1716896022423   -13.0936143004734   
-0.902              -13.1912877223648   -13.1177401050023   
-0.9                -13.2092501065935   -13.1400928652328   
-0.898              -13.2255614829599   -13.1606580527981   
-0.896              -13.2402067538911   -13.1794213610002   
-0.894              -13.2531710006337   -13.1963687087511   
-0.892              -13.2644394876739   -13.2114862444901   
-0.89               -13.2739976671549   -13.2247603500794   
-0.888              -13.2818311832884   -13.2361776446752   
-0.886              -13.2879258767598   -13.2457249885741   
-0.884              -13.292267789126    -13.2533894870326   
-0.882              -13.2948431672051   -13.2591584940613   
-0.88               -13.2956384674557   -13.2630196161896   
-0.878              -13.2946403603457   -13.2649607162034   
-0.876              -13.2918357347093   -13.2649699168513   
-0.874              -13.28721170209     -13.263035604522    
-0.872              -13.2807556010701   -13.2591464328881   
-0.87               -13.2724550015842   -13.2532913265196   
-0.868              -13.2622977092156   -13.2454594844621   
-0.866              -13.2502717694755   -13.2356403837815   
-0.864              -13.2363654720624   -13.2238237830735   
-0.862              -13.2205673551011   -13.2099997259365   
-0.86               -13.2028662093608   -13.1941585444077   
-0.858              -13.1832510824493   -13.1762908623604   
-0.856              -13.1617112829838   -13.1563875988634   
-0.854              -13.1382363847368   -13.1344399714997   
-0.852              -13.1128162307541   -13.1104394996447   
-0.85               -13.0854409374469   -13.0843780077026   
-0.848              -13.0561008986529   -13.0562476283001   
-0.846              -13.0247867896689   -13.0260408054372   
-0.844              -12.991489571251    -12.9937502975924   
-0.842              -12.9562004935817   -12.959369180784    
-0.84               -12.9189111002041   -12.9228908515843   
-0.838              -12.8796132319199   -12.884309030087    
-0.836              -12.8382990306515   -12.8436177628271   
-0.834              -12.7949609432655   -12.8008114256514   
-0.832              -12.7495917253585   -12.7558847265399   
-0.83               -12.7021844450011   -12.7088327083763   
-0.828              -12.6527324864415   -12.659650751668    
-0.826              -12.6012295537661   -12.6083345772126   
-0.824              -12.5476696745153   -12.5548802487131   
-0.822              -12.492047203255    -12.4992841753379   
-0.82               -12.4343568251011   -12.441543114227    
-0.818              -12.3745935591959   -12.3816541729424   
-0.816              -12.312752762136    -12.3196148118628   
-0.814              -12.2488301313498   -12.2554228465209   
-0.812              -12.182821708423    -12.1890764498827   
-0.81               -12.1147238823718   -12.1205741545693   
-0.808              -12.0445333928621   -12.049914855018    
-0.806              -11.9722473333732   -11.9770978095846   
-0.804              -11.897863154305    -11.9021226425845   
-0.802              -11.8213786660283   -11.8249893462715   
-0.8                -11.742792041875    -11.7456982827558   
-0.798              -11.6621018210693   -11.6642501858583   
-0.796              -11.5793069115969   -11.5806461629005   
-0.794              -11.494406593012    -11.4948876964318   
-0.792              -11.4074005191812   -11.4069766458902   
-0.79               -11.3182887209612   -11.3169152491983   
-0.788              -11.2270716088119   -11.2247061242921   
-0.786              -11.1337499753417   -11.1303522705839   
-0.784              -11.0383249977844   -11.0338570703565   
-0.782              -10.9407982404072   -10.93522429009     
-0.78               -10.8411716568474   -10.8344580817188   
-0.778              -10.7394475923781   -10.7315629838205   
-0.776              -10.6356287861007   -10.6265439227333   
-0.774              -10.5297183730637   -10.5194062136037   
-0.772              -10.4217198863066   -10.4101555613628   
-0.77               -10.3116372588276   -10.298798061631    
-0.768              -10.199474825474    -10.1853402015499   
