0  141.338164625218   138.222585699809   144.523969642777
0.125  138.368368311446   135.200745848024   141.610205099708
0.25  135.460973332577   132.244969845671   138.755185302119
0.375  132.614668512292   129.353813396423   135.957725890371
0.5  129.828170224698   126.525863779343   133.216666382839
0.625  127.100221815439   123.759739158578   130.5308696945
0.75  124.429593034968   121.054087908152   127.899221665236
0.875  121.815079483732   118.407587951503   125.320630597641
1  119.255502069013   115.818946115482   122.794026804145
1.125  116.749706473176   113.286897498452   120.318362163277
1.25  114.2965626331   110.81020485222   117.892609684861
1.375  111.894964230541   108.38765797747   115.515763083991
1.5  109.543828193204   106.01807313242   113.186836363589
1.625  107.242094206299   103.7002924544   110.904863405376
1.75  104.988724234363   101.433183394083   108.668897569098
1.875  102.782702053124   99.2156381620804   106.478011299825
2  100.623032791207   97.046573187637   104.331295743168
2.125  98.5087424814651   94.9249285891597   102.227860368259
2.25  96.4388776217403   92.8496676563224   100.166832598325
2.375  94.4125047448548   90.819776343493   98.1473574487157
2.5  92.4287099976348   88.8342627742345   96.1685971722243
2.625  90.4865987287817   86.8921567566396   94.2297309115637
2.75  88.5852950854024   84.9925093092607   92.3299543588459
2.875  86.7239416180173   83.1343921974037   90.4684794219275
3  84.9016988938678   81.3168974795605   88.6445338974824
3.125  83.1177451183497   79.5391370637561   86.8573611506655
3.25  81.3712757643997   77.8002422735961   85.1062198012347
3.375  79.6615032096704   76.0993634238004   83.3903834160011
3.5  77.9876563813285   74.4356694050173   81.7091402074797
3.625  76.3489804083165   72.808347277714   80.0617927386157
3.75  74.7447362809211   71.2166018749459   78.4476576334638
3.875  73.174200517495   69.6596554138096   76.8660652937005
4  71.6366648381809   68.1367471153914   75.3163596208519
4.125  70.1314358454919   66.6471328330233   73.7978977441216
4.25  68.6578347116033   65.190084688667   72.3100497537063
4.375  67.2151968722148   63.764890717247   70.8521984394871
4.5  65.8028717268455   62.3708545187594   69.42373903499
4.625  64.4202223454264   61.0072949179862   68.0240789665085
4.75  63.0666251810575   59.6735456316493   66.6526376072831
4.875  61.7414697888011   58.3689549428406   65.3088460366381
5  60.4441585503834   57.0928853825708   63.9921468039733
5.125  59.1741064046806   55.8447134182788   62.7019936975152
5.25  57.9307405838682   54.6238291491524   61.4378515177292
5.375  56.7135003551145   53.429636008109   60.1991958553005
5.5  55.5218367677011   52.2615504702916   58.9855128735916
5.625  54.3552124054577   51.1190017679386   57.7962990954853
5.75  53.2131011443977   50.0014316114859   56.6310611945248
5.875  52.0949879154476   48.9082939167677   55.4893157902653
6  51.0003684721605   47.8390545381796   54.3705892477515
6.125  49.9287491633118   46.7931910076771   53.2744174810373
6.25  48.8796467102722   45.7701922794788   52.2003457606674
6.375  47.8525879890588   44.7695584803515   51.1479285250399
6.5  46.8471098169658   43.7908006653548   50.1167291955719
6.625  45.8627587436786   42.8334405789249   49.1063199955922
6.75  44.8990908467766   41.8970104211823   48.1162817728847
6.875  43.9556715315334   40.9810526193485   47.1462038258101
7  43.0320753349232   40.0851196041595   46.1956837329321
7.125  42.127885733746   39.2087735911679   45.26432718608
7.25  41.2426949567833   38.3515863668259   44.351747826776
7.375  40.3761038009023   37.5131390792448   43.4575670859604
7.5  39.527721451023   36.6930220335298   42.5814140269481
7.625  38.6971653038683   35.8908344915882   41.7229251915519
7.75  37.8840607954181   35.1061844763147   40.8817444493072
7.875  37.0880412319883   34.3386885800576   40.057522849737
8  36.3087476248593   33.5879717772725   39.2499184775956
8.125  35.5458285283796   32.8536672412712   38.4585963110301
8.25  34.7989398814705   32.1354161649778   37.6832280826023
8.375  34.067744852462   31.4328675856021   36.9234921431116
8.5  33.351913687188   30.7456782131479   36.1790733281648
8.625  32.6511235602744   30.0735122626684   35.4496628274343
8.75  31.965058429551   29.4160412901904   34.7349580565535
8.875  31.293408893523   28.7729440322249   34.0346625315943
9  30.6358720518372   28.1439062487863   33.3484857460756
9.125  29.99215136868   27.5286205698439   32.6761430504513
9.25  29.3619565390459   26.9267863451298   32.0173555340276
9.375  28.7450033578156   26.3381094972308   31.3718499092619
9.5  28.1410135915854   25.7623023778917   30.7393583983933
9.625  27.5497148531894   25.1990836274603   30.1196186223595
9.75  26.9708404788588   24.648178037405   29.512373491953
9.875  26.4041294079614   24.1093164158384   28.9173711011716
10  25.8493260652687   23.5822354559807   28.3343646227195
10.125  25.3061802456971   23.0666776074984   27.7631122056143
10.25  24.7744470014697   22.5623909506564   27.2033768748597
10.375  24.2538865316504   22.0691290732211   26.6549264331397
10.5  23.7442640739984   21.5866509500547   26.1175333644954
10.625  23.2453497990949   21.1147208253418   25.5909747399434
10.75  22.756918706695   20.6531080973908   25.0750321249978
10.875  22.2787505242572   20.2015872059537   24.5694914890553
11  21.8106296076044   19.7599375220096   24.0741431166089
11.125  21.3523448436734   19.3279432399574   23.58878152025
11.25  20.9036895553069   18.9053932721657   23.1132053554257
11.375  20.4644614080461   18.4920811458279   22.6472173369138
11.5  20.0344623188822   18.0878049020723   22.1906241569825
11.625  19.613498366925   17.6923669972779   21.7432364051999
11.75  19.2013797059482   17.3055742065477   21.3048684898594
11.875  18.797920478773   16.9272375292919   20.8753385609906
12  18.4029387334499   16.557172096876   20.4544684349214
12.125  18.0162563412023   16.1951970822871   20.0420835203615
12.25  17.6376989160939   15.8411356117756   19.6380127459757
12.375  17.2670957363843   15.4948146784286   19.2420884894182
12.5  16.9042796675367   15.1560650576323   18.8541465077964
12.625  16.5490870868439   14.8247212243831   18.4740258695381
12.75  16.2013578096375   14.5006212724061   18.1015688876308
